Temperatures,410->211/402->201
1.355359191299057853e-01,0.000000000000000000e+00
1.356389881328222968e-01,0.000000000000000000e+00
1.357421355151044451e-01,0.000000000000000000e+00
1.358453613363562740e-01,0.000000000000000000e+00
1.359486656562270135e-01,0.000000000000000000e+00
1.360520485344114128e-01,0.000000000000000000e+00
1.361555100306496013e-01,0.000000000000000000e+00
1.362590502047269780e-01,0.000000000000000000e+00
1.363626691164746274e-01,0.000000000000000000e+00
1.364663668257689311e-01,0.000000000000000000e+00
1.365701433925319841e-01,0.000000000000000000e+00
1.366739988767312897e-01,0.000000000000000000e+00
1.367779333383800644e-01,0.000000000000000000e+00
1.368819468375371551e-01,0.000000000000000000e+00
1.369860394343069554e-01,0.000000000000000000e+00
1.370902111888397668e-01,0.000000000000000000e+00
1.371944621613314930e-01,0.000000000000000000e+00
1.372987924120238346e-01,0.000000000000000000e+00
1.374032020012042887e-01,0.000000000000000000e+00
1.375076909892062604e-01,0.000000000000000000e+00
1.376122594364090346e-01,0.000000000000000000e+00
1.377169074032377205e-01,0.000000000000000000e+00
1.378216349501634186e-01,0.000000000000000000e+00
1.379264421377033312e-01,0.000000000000000000e+00
1.380313290264204851e-01,0.000000000000000000e+00
1.381362956769241201e-01,0.000000000000000000e+00
1.382413421498694950e-01,3.978810098020533648e+00
1.383464685059579979e-01,3.970194742771429031e+00
1.384516748059371472e-01,3.968629704604289543e+00
1.385569611106007293e-01,3.967973510754875477e+00
1.386623274807887440e-01,3.967612624093085572e+00
1.387677739773874042e-01,3.967384310061240260e+00
1.388733006613293020e-01,3.967226849431387148e+00
1.389789075935933260e-01,3.967111687717937318e+00
1.390845948352046613e-01,3.967023797019006093e+00
1.391903624472350665e-01,3.966954514512461394e+00
1.392962104908025966e-01,3.966898495200640973e+00
1.394021390270718530e-01,3.966852262313680821e+00
1.395081481172538995e-01,3.966813456653036862e+00
1.396142378226064296e-01,3.966780420950938080e+00
1.397204082044336826e-01,3.966751956886366060e+00
1.398266593240864719e-01,3.966727176500688845e+00
1.399329912429622957e-01,3.966705407828108321e+00
1.400394040225053927e-01,3.966686132985331792e+00
