Temperatures,+-,Metastables,+-
2.226099855493807809e+02,4.244995918516675459e+01,6.837483263100181250e+14,5.529660900148077344e+13
2.445195037074795721e+02,4.456105691626510179e+01,6.996033225200013750e+14,5.411978172051762500e+13
2.565889980563293875e+02,4.695060523605323510e+01,7.145436095149451250e+14,5.553823254763012500e+13
2.678435688715032938e+02,5.232507653002534909e+01,7.208567915680407500e+14,5.984716102647075781e+13
2.795339460799604012e+02,5.506850509550183403e+01,7.123173388861705000e+14,5.964922722437968750e+13
2.863091052563364087e+02,5.544180985811738793e+01,7.044147362213953750e+14,5.800072632959035938e+13
2.753685718581812125e+02,5.336224757558125020e+01,6.819647562445006250e+14,5.615374718501169531e+13
2.562828055290164002e+02,4.913956200160549059e+01,6.542078404042880000e+14,5.325852114900860156e+13
2.508304152717141164e+02,4.875168411793109868e+01,6.417697711382453750e+14,5.294230528501485156e+13
2.458236739747489423e+02,4.713055002059459753e+01,6.403997412961926250e+14,5.210183800360778906e+13
2.530874879810445179e+02,4.891951879653841928e+01,6.678527264285262500e+14,5.479749017912529688e+13
2.605627098635103494e+02,4.841499440988989988e+01,6.730486377379938750e+14,5.310450227273614062e+13
2.608637743022994187e+02,4.740699526092141980e+01,6.913000343576546250e+14,5.336692805273383594e+13
2.666151221399581459e+02,4.739648989427890058e+01,7.053062151710965000e+14,5.327113621096357812e+13
2.583559046370010037e+02,4.965791132015247200e+01,6.781630851388371250e+14,5.534932061322384375e+13
2.527065134923888365e+02,4.932523227674965938e+01,6.884612560608916250e+14,5.705490198380529688e+13
2.477266219915519514e+02,5.131869690659375749e+01,6.848170608320088750e+14,6.021724450559941406e+13
2.248253682630378307e+02,4.975476573600676033e+01,6.646510394394971250e+14,6.236221938477414844e+13
2.119850225717230501e+02,4.828627379607160464e+01,6.532709464217915000e+14,6.305368611846972656e+13
2.275806230430642358e+02,5.312747756425664392e+01,6.355064732849937500e+14,6.290302388944113281e+13
2.297892693388980376e+02,5.697381343386329178e+01,6.035721867469770000e+14,6.342470445405753906e+13
2.340128460911815864e+02,6.086291003289385060e+01,5.909333285472595000e+14,6.515569490211200000e+13
2.498173036440373664e+02,6.393762315052103418e+01,5.950576375198036250e+14,6.461507605685199219e+13
2.518497117922021289e+02,6.775417838112319657e+01,5.703077466868043750e+14,6.506811932745535156e+13
2.489372469638779251e+02,6.536594038814536134e+01,5.799237081634168750e+14,6.459495641825867188e+13
2.443948906168283486e+02,5.899986385024471502e+01,6.192744256809278750e+14,6.342730124847387500e+13
2.550956621804041617e+02,6.235211168068832421e+01,6.329394736450246250e+14,6.565859670230177344e+13
